Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Rice,2005,Rabi,Andhra Pradesh,329531.28,2339672.09,1477.59,62.76,0.87,7.1
Rice,2005,Whole Year,Andhra Pradesh,9752.73,87384.46,2145.84,204.81,1.11,8.96
Wheat,2005,Rabi,Andhra Pradesh,137256.89,849620.15,1344.56,120.71,1.45,6.19
Wheat,2005,Summer,Andhra Pradesh,131819.02,872641.91,1059.45,125.77,3.58,6.62
Maize,2005,Kharif,Andhra Pradesh,266790.35,1307272.72,483.61,157.58,0.93,4.9
Maize,2005,Rabi,Andhra Pradesh,308062.75,1632732.57,1192.27,55.63,2.33,5.3
Cotton(lint),2005,Kharif,Andhra Pradesh,176281.74,703364.14,728.02,188.63,2.03,3.99
Cotton(lint),2005,Rabi,Andhra Pradesh,14575.32,60779.08,1916.11,124.45,1.9,4.17
Sugarcane,2005,Summer,Andhra Pradesh,414882.47,36127965.49,559.29,71.16,0.39,87.08
Sugarcane,2005,Kharif,Andhra Pradesh,122471.39,12560665.76,1891.73,104.92,1.41,102.56
Soybean,2005,Rabi,Andhra Pradesh,133674.94,290074.62,697.48,33.28,2.02,2.17
Soybean,2005,Summer,Andhra Pradesh,6828.88,20964.66,757.92,179.38,3.6,3.07
Groundnut,2005,Whole Year,Andhra Pradesh,161630.34,667533.3,608.56,211.25,2.88,4.13
Groundnut,2005,Rabi,Andhra Pradesh,140286.55,628483.74,985.33,183.22,2.94,4.48
Rapeseed &Mustard,2005,Rabi,Andhra Pradesh,172625.63,702586.31,2149.08,208.27,3.3,4.07
Rapeseed &Mustard,2005,Kharif,Andhra Pradesh,18674.9,55464.45,1679.19,53.29,2.09,2.97
Gram,2005,Kharif,Andhra Pradesh,286566.48,707819.21,965.84,136.8,4.1,2.47
Gram,2005,Rabi,Andhra Pradesh,340120.24,629222.44,811.84,46.17,1.45,1.85
Arhar/Tur,2005,Kharif,Andhra Pradesh,363750.11,1174912.86,1540.13,213.01,3.66,3.23
Arhar/Tur,2005,Summer,Andhra Pradesh,403293.04,786421.43,972.41,53.11,1.18,1.95
Moong(Green Gram),2005,Summer,Andhra Pradesh,158979.7,287753.26,948.61,64.58,2.5,1.81
Moong(Green Gram),2005,Whole Year,Andhra Pradesh,121600.84,182401.26,839.43,65.34,1.14,1.5
Potato,2005,Summer,Andhra Pradesh,163951.51,6279342.83,2149.21,232.11,1.28,38.3
Potato,2005,Rabi,Andhra Pradesh,128535.8,4347080.76,466.4,158.01,2.36,33.82
Onion,2005,Whole Year,Andhra Pradesh,155609.53,5836913.47,1541.83,172.95,2.48,37.51
Onion,2005,Kharif,Andhra Pradesh,266917.18,5890862.16,545.54,107.63,1.24,22.07
Tomato,2005,Summer,Andhra Pradesh,442548.7,18945509.85,1117.88,201.45,3.63,42.81
Tomato,2005,Whole Year,Andhra Pradesh,313267.86,12179854.4,1945.05,98.45,1.15,38.88
Banana,2005,Whole Year,Andhra Pradesh,102309.85,7164758.8,1561.31,66.62,3.17,70.03
Banana,2005,Kharif,Andhra Pradesh,62315.66,3721491.22,1013.92,53.83,4.18,59.72
Rice,2005,Summer,Assam,103233.23,610108.39,714.92,236.26,2.42,5.91
Rice,2005,Kharif,Assam,397245.04,1958418.05,739.67,88.56,3.21,4.93
Wheat,2005,Kharif,Assam,399245.35,2830649.53,1803.78,164.83,0.56,7.09
Wheat,2005,Rabi,Assam,2775.18,14208.92,689.45,145.23,3.18,5.12
Maize,2005,Rabi,Assam,79578.4,376405.83,432.54,133.72,0.97,4.73
Maize,2005,Summer,Assam,324562.5,1551408.75,954.51,143.93,2.39,4.78
Cotton(lint),2005,Kharif,Assam,110173.34,542052.83,2151.42,112.55,4.04,4.92
Cotton(lint),2005,Whole Year,Assam,226435.37,917063.25,1438.43,133.43,1.04,4.05
Sugarcane,2005,Whole Year,Assam,11430.03,1068364.9,1561.85,67.19,4.24,93.47
Sugarcane,2005,Rabi,Assam,435011.34,52666822.93,2134.52,209.13,1.47,121.07
Soybean,2005,Rabi,Assam,142956.44,413144.11,705.09,146.93,4.23,2.89
Soybean,2005,Whole Year,Assam,44180.83,197488.31,1507.01,237.91,0.8,4.47
Groundnut,2005,Kharif,Assam,145486.57,547029.5,1927.61,58.69,3.25,3.76
Groundnut,2005,Whole Year,Assam,189191.49,747306.39,861.17,158.42,0.55,3.95
Rapeseed &Mustard,2005,Whole Year,Assam,359333.68,1200174.49,1569.94,177.41,3.62,3.34
Rapeseed &Mustard,2005,Rabi,Assam,169324.54,447016.79,569.17,151.44,0.35,2.64
Gram,2005,Summer,Assam,441837.48,1215053.07,1910.08,210.68,1.28,2.75
Gram,2005,Whole Year,Assam,372627.12,1020998.31,888.78,232.7,2.17,2.74
Arhar/Tur,2005,Summer,Assam,239343.91,574425.38,1373.14,163.86,3.32,2.4
Arhar/Tur,2005,Whole Year,Assam,145668.93,356888.88,1831.34,86.87,2.09,2.45
Moong(Green Gram),2005,Whole Year,Assam,83357.99,100029.59,545.57,119.95,3.16,1.2
Moong(Green Gram),2005,Kharif,Assam,42696.04,73864.15,729.16,226.27,2.94,1.73
Potato,2005,Whole Year,Assam,249682.15,8998544.69,1501.1,118.12,1.27,36.04
Potato,2005,Rabi,Assam,6969.87,165116.22,608.93,39.66,0.38,23.69
Onion,2005,Kharif,Assam,79310.96,1891566.4,430.89,190.31,3.67,23.85
Onion,2005,Summer,Assam,292573.27,6430760.47,486.51,229.32,4.01,21.98
Tomato,2005,Kharif,Assam,281824.03,10861498.12,1305.65,209.86,3.03,38.54
Tomato,2005,Rabi,Assam,263806.12,10926849.49,2092.41,150.85,1.87,41.42
Banana,2005,Rabi,Assam,365136.28,22145515.38,1877.15,161.45,3.73,60.65
Banana,2005,Summer,Assam,123645.53,6816578.07,786.26,109.22,0.37,55.13
Rice,2005,Whole Year,Bihar,32499.3,187845.95,974.16,207.42,0.3,5.78
Rice,2005,Kharif,Bihar,53615.09,386028.65,1654.13,162.08,3.97,7.2
Wheat,2005,Rabi,Bihar,435427.46,2978323.83,1386.35,118.93,2.64,6.84
Wheat,2005,Summer,Bihar,57896.53,345063.32,850.03,151.91,3.93,5.96
Maize,2005,Summer,Bihar,193332.82,1264396.64,1751.57,188.45,0.64,6.54
Maize,2005,Rabi,Bihar,371992.63,2261715.19,976.09,218.06,1.87,6.08
Cotton(lint),2005,Rabi,Bihar,381290.84,1395524.47,1038.83,230.93,3.11,3.66
Cotton(lint),2005,Summer,Bihar,37936.34,88012.31,565.07,156.51,2.58,2.32
Sugarcane,2005,Rabi,Bihar,351692.57,33713249.76,604.24,225.5,4.39,95.86
Sugarcane,2005,Summer,Bihar,317771.25,40515834.38,2143.57,174.49,3.8,127.5
Soybean,2005,Summer,Bihar,38306.01,114918.03,1661.74,45.28,3.73,3.0
Soybean,2005,Rabi,Bihar,38634.55,152992.82,2175.95,108.6,1.79,3.96
Groundnut,2005,Rabi,Bihar,408508.32,1384843.2,1465.4,103.55,3.25,3.39
Groundnut,2005,Summer,Bihar,317435.42,1069757.37,847.7,99.35,2.07,3.37
Rapeseed &Mustard,2005,Summer,Bihar,211162.96,458223.62,501.35,54.95,0.71,2.17
Rapeseed &Mustard,2005,Rabi,Bihar,262724.26,987843.22,2131.91,108.72,1.43,3.76
Gram,2005,Summer,Bihar,196632.96,642989.78,1843.8,235.36,2.59,3.27
Gram,2005,Rabi,Bihar,416127.18,1190123.73,2054.41,83.13,3.19,2.86
Arhar/Tur,2005,Summer,Bihar,283414.69,734044.05,1652.35,125.45,2.9,2.59
Arhar/Tur,2005,Whole Year,Bihar,20928.15,50855.4,905.73,229.59,4.03,2.43
Moong(Green Gram),2005,Summer,Bihar,76771.12,133581.75,1564.33,111.54,1.19,1.74
Moong(Green Gram),2005,Rabi,Bihar,117347.46,152551.7,1215.83,36.79,1.4,1.3
Potato,2005,Summer,Bihar,122295.46,3580811.07,639.73,46.0,4.24,29.28
Potato,2005,Rabi,Bihar,413669.86,11421424.83,548.95,214.1,2.57,27.61
Onion,2005,Whole Year,Bihar,169720.28,4731801.41,1859.0,237.33,0.85,27.88
Onion,2005,Rabi,Bihar,436476.52,15219936.25,1915.81,206.05,2.22,34.87
Tomato,2005,Rabi,Bihar,6645.55,226413.89,535.65,175.26,2.5,34.07
Tomato,2005,Kharif,Bihar,263524.71,10933640.22,1707.02,188.99,1.82,41.49
Banana,2005,Summer,Bihar,58557.16,4400570.57,2117.29,157.3,1.18,75.15
Banana,2005,Whole Year,Bihar,161494.14,9977107.97,604.4,171.03,2.44,61.78
Rice,2005,Whole Year,Gujarat,138845.87,1166305.31,1869.49,233.27,0.58,8.4
Rice,2005,Kharif,Gujarat,216280.66,1619942.14,1156.96,194.78,2.95,7.49
Wheat,2005,Rabi,Gujarat,61798.98,299107.06,426.18,103.62,2.74,4.84
Wheat,2005,Kharif,Gujarat,406919.33,2172949.22,1026.86,137.94,3.57,5.34
Maize,2005,Summer,Gujarat,235859.22,1698186.38,1655.76,197.26,2.18,7.2
Maize,2005,Kharif,Gujarat,30273.07,159841.81,482.55,160.37,1.69,5.28
Cotton(lint),2005,Whole Year,Gujarat,108445.46,279789.29,536.55,57.06,0.75,2.58
Cotton(lint),2005,Kharif,Gujarat,155877.44,770034.55,2014.22,129.53,3.07,4.94
Sugarcane,2005,Summer,Gujarat,101120.16,11592415.14,1879.22,102.47,1.69,114.64
Sugarcane,2005,Whole Year,Gujarat,240723.36,25632223.37,1040.78,217.79,0.75,106.48
Soybean,2005,Whole Year,Gujarat,18170.81,73591.78,1838.94,161.86,0.55,4.05
Soybean,2005,Summer,Gujarat,362887.48,1262848.43,1746.87,68.75,1.1,3.48
Groundnut,2005,Kharif,Gujarat,278405.52,1227768.34,1064.04,127.13,3.41,4.41
Groundnut,2005,Whole Year,Gujarat,230499.01,963485.86,1357.8,52.51,2.12,4.18
Rapeseed &Mustard,2005,Rabi,Gujarat,47638.69,135293.88,1727.33,68.28,2.63,2.84
Rapeseed &Mustard,2005,Kharif,Gujarat,154645.63,479401.45,1253.15,104.57,2.99,3.1
Gram,2005,Kharif,Gujarat,241929.39,718530.29,1456.31,186.54,2.06,2.97
Gram,2005,Whole Year,Gujarat,163705.49,463286.54,1562.65,149.86,1.73,2.83
Arhar/Tur,2005,Summer,Gujarat,420194.47,756350.05,413.56,77.32,1.77,1.8
Arhar/Tur,2005,Whole Year,Gujarat,40005.49,94412.96,1850.56,41.69,3.82,2.36
Moong(Green Gram),2005,Rabi,Gujarat,184973.37,373646.21,2168.28,53.53,1.91,2.02
Moong(Green Gram),2005,Kharif,Gujarat,77313.97,192511.79,1603.56,225.17,2.59,2.49
Potato,2005,Summer,Gujarat,377442.86,14890120.83,769.14,233.28,3.26,39.45
Potato,2005,Kharif,Gujarat,238663.09,8995211.86,1673.01,191.23,0.58,37.69
Onion,2005,Whole Year,Gujarat,216772.48,5432318.35,1358.66,40.88,1.65,25.06
Onion,2005,Kharif,Gujarat,306835.47,10404790.79,1768.41,155.08,2.23,33.91
Tomato,2005,Kharif,Gujarat,48461.31,2135689.93,1931.31,186.65,1.96,44.07
Tomato,2005,Rabi,Gujarat,416939.02,14263483.87,1698.87,40.1,3.56,34.21
Banana,2005,Rabi,Gujarat,91131.48,5245527.99,694.58,64.5,3.7,57.56
Banana,2005,Whole Year,Gujarat,161794.3,13579395.6,1978.96,112.41,3.71,83.93
Rice,2005,Kharif,Haryana,208474.56,1459321.92,942.48,187.0,2.36,7.0
Rice,2005,Whole Year,Haryana,173059.1,1316979.75,1378.4,220.36,2.88,7.61
Wheat,2005,Kharif,Haryana,150100.7,1205308.62,1714.99,175.68,0.92,8.03
Wheat,2005,Whole Year,Haryana,333786.68,2997404.39,1431.67,239.52,3.44,8.98
Maize,2005,Rabi,Haryana,334903.86,1744849.11,460.36,149.68,3.48,5.21
Maize,2005,Summer,Haryana,369655.16,2347310.27,599.14,207.75,0.75,6.35
Cotton(lint),2005,Rabi,Haryana,243167.36,1021302.91,1275.44,115.88,3.52,4.2
Cotton(lint),2005,Kharif,Haryana,254696.0,1219993.84,1689.12,155.8,3.76,4.79
Sugarcane,2005,Kharif,Haryana,262734.61,30866061.98,1121.53,127.02,4.27,117.48
Sugarcane,2005,Summer,Haryana,227896.96,23461992.03,1500.62,33.8,3.95,102.95
Soybean,2005,Summer,Haryana,10848.66,43394.64,1572.46,191.96,1.81,4.0
Soybean,2005,Rabi,Haryana,84251.24,327737.32,1907.48,99.75,1.54,3.89
Groundnut,2005,Rabi,Haryana,170997.91,779750.47,1739.65,73.17,3.59,4.56
Groundnut,2005,Kharif,Haryana,186819.81,1154546.43,1954.33,223.82,2.2,6.18
Rapeseed &Mustard,2005,Whole Year,Haryana,203771.96,607240.44,804.29,125.01,0.81,2.98
Rapeseed &Mustard,2005,Kharif,Haryana,188806.99,655160.26,2046.72,106.1,2.7,3.47
Gram,2005,Kharif,Haryana,96100.01,348843.04,1327.31,234.86,2.17,3.63
Gram,2005,Summer,Haryana,241013.84,573612.94,732.03,92.92,1.53,2.38
Arhar/Tur,2005,Whole Year,Haryana,94852.56,257998.96,2016.5,73.08,1.02,2.72
Arhar/Tur,2005,Kharif,Haryana,254396.09,562215.36,518.28,192.86,2.15,2.21
Moong(Green Gram),2005,Kharif,Haryana,216749.03,455172.96,1294.62,190.72,0.64,2.1
Moong(Green Gram),2005,Summer,Haryana,339084.18,691731.73,890.14,218.46,2.46,2.04
Potato,2005,Rabi,Haryana,70690.59,2843882.44,1688.75,168.37,0.32,40.23
Potato,2005,Whole Year,Haryana,302515.79,9048247.28,435.48,51.86,3.64,29.91
Onion,2005,Rabi,Haryana,250746.35,9866868.87,1697.46,199.12,4.45,39.35
Onion,2005,Kharif,Haryana,433210.87,14538556.8,2099.94,59.63,1.95,33.56
Tomato,2005,Whole Year,Haryana,285141.73,14342629.02,1724.63,208.11,0.73,50.3
Tomato,2005,Kharif,Haryana,316923.79,16540252.6,2039.12,161.2,1.64,52.19
Banana,2005,Whole Year,Haryana,265837.58,15458455.28,882.51,161.07,1.96,58.15
Banana,2005,Kharif,Haryana,132862.36,12637867.68,2107.22,190.36,0.8,95.12
Rice,2005,Kharif,Karnataka,443422.61,2899983.87,1247.92,68.24,2.28,6.54
Rice,2005,Summer,Karnataka,314631.21,1783958.96,1124.59,75.78,2.97,5.67
Wheat,2005,Kharif,Karnataka,405307.25,3274882.58,1644.2,173.47,3.74,8.08
Wheat,2005,Summer,Karnataka,224391.79,1227423.09,520.92,115.1,2.34,5.47
Maize,2005,Rabi,Karnataka,5442.62,34234.08,646.39,219.0,3.96,6.29
Maize,2005,Kharif,Karnataka,299433.99,1916377.54,715.67,222.03,2.0,6.4
Cotton(lint),2005,Kharif,Karnataka,190205.21,827392.66,1036.97,231.31,0.99,4.35
Cotton(lint),2005,Summer,Karnataka,31178.24,138743.17,1906.74,121.81,4.14,4.45
Sugarcane,2005,Kharif,Karnataka,255098.89,25507338.01,1256.89,169.37,4.23,99.99
Sugarcane,2005,Rabi,Karnataka,14516.82,1538637.75,872.08,154.97,0.42,105.99
Soybean,2005,Whole Year,Karnataka,70025.13,229682.43,1522.0,129.59,1.68,3.28
Soybean,2005,Kharif,Karnataka,317364.03,958439.37,1476.91,126.53,0.53,3.02
Groundnut,2005,Summer,Karnataka,312766.06,1144723.78,889.86,153.95,1.75,3.66
Groundnut,2005,Whole Year,Karnataka,244084.48,1310733.66,1971.3,183.77,3.67,5.37
Rapeseed &Mustard,2005,Whole Year,Karnataka,286935.6,1205129.52,2165.04,219.71,2.98,4.2
Rapeseed &Mustard,2005,Rabi,Karnataka,301627.9,799313.94,479.5,153.54,4.5,2.65
Gram,2005,Summer,Karnataka,412011.99,935267.22,461.1,176.46,1.48,2.27
Gram,2005,Whole Year,Karnataka,387988.17,1222162.74,1920.19,97.01,3.76,3.15
Arhar/Tur,2005,Summer,Karnataka,164431.41,317352.62,1409.22,131.02,4.01,1.93
Arhar/Tur,2005,Whole Year,Karnataka,182316.21,543302.31,1430.37,198.84,2.52,2.98
Moong(Green Gram),2005,Whole Year,Karnataka,281838.17,687685.13,1994.76,159.33,1.2,2.44
Moong(Green Gram),2005,Summer,Karnataka,359553.06,812589.92,2196.28,103.65,3.5,2.26
Potato,2005,Summer,Karnataka,216161.71,7221962.73,1445.36,87.05,1.91,33.41
Potato,2005,Whole Year,Karnataka,235372.38,7409522.52,1718.09,30.7,2.21,31.48
Onion,2005,Kharif,Karnataka,133690.5,3114988.65,820.49,38.84,0.28,23.3
Onion,2005,Summer,Karnataka,173254.83,4927367.37,1623.37,75.83,4.28,28.44
Tomato,2005,Rabi,Karnataka,265055.13,12550360.41,2168.19,215.68,2.78,47.35
Tomato,2005,Summer,Karnataka,181010.32,7272994.66,1908.09,78.42,3.77,40.18
Banana,2005,Summer,Karnataka,79849.35,4284716.12,796.88,69.15,3.55,53.66
Banana,2005,Kharif,Karnataka,436111.63,33205539.51,1990.81,224.83,4.48,76.14
Rice,2005,Whole Year,Madhya Pradesh,232103.94,1912536.47,1284.14,239.23,4.06,8.24
Rice,2005,Rabi,Madhya Pradesh,336668.29,1780975.25,462.76,217.93,3.9,5.29
Wheat,2005,Whole Year,Madhya Pradesh,119887.22,767278.21,633.13,216.64,4.31,6.4
Wheat,2005,Rabi,Madhya Pradesh,295031.27,1708231.05,1391.54,48.27,1.96,5.79
Maize,2005,Kharif,Madhya Pradesh,313223.57,1453357.36,487.81,141.85,4.34,4.64
Maize,2005,Whole Year,Madhya Pradesh,407977.92,2708973.39,1428.37,169.04,2.54,6.64
