State,District,Market,Commodity,Variety,Arrival_Date,Min_Price,Max_Price,Modal_Price
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-09-01,2493,2825,2659
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-09-03,2547,2887,2717
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-09-05,2495,2929,2712
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-09-07,2433,2801,2617
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-09-09,2481,2857,2669
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-09-11,2534,2948,2741
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-09-13,2624,2982,2803
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-09-15,2494,2962,2728
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-09-17,2467,2969,2718
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-09-19,2584,2924,2754
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-09-21,2456,2988,2722
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-09-23,2518,2960,2739
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-09-25,2609,2897,2753
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-09-27,2395,3009,2702
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-09-29,2590,2990,2790
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-10-01,2456,2920,2688
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-10-03,2363,2993,2678
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-10-05,2460,3032,2746
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-10-07,2610,2920,2765
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-10-09,2557,2905,2731
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-10-11,2500,2918,2709
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-10-13,2506,2876,2691
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-10-15,2488,2860,2674
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-10-17,2497,2977,2737
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-10-19,2545,2841,2693
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-10-21,2334,2964,2649
Maharashtra,Nashik,Lasalgaon,Wheat,Other,2025-10-23,2494,2758,2626
