N,P,K,temperature,humidity,ph,rainfall,label
84,46,43,26.55,80.83,6.31,282.38,rice
87,44,42,22.57,79.67,6.5,177.6,rice
62,43,34,24.13,77.46,5.84,278.97,rice
77,48,32,22.41,82.55,5.94,246.27,rice
73,45,36,27.2,81.93,5.98,259.68,rice
67,49,30,20.84,82.98,6.7,240.14,rice
78,45,32,22.06,79.7,6.82,245.31,rice
62,50,38,22.15,85.06,6.81,262.94,rice
71,45,41,25.45,79.6,6.33,201.81,rice
68,54,46,23.36,87.02,6.54,215.65,rice
83,60,39,26.63,68.9,6.73,237.61,rice
77,48,30,23.06,83.79,6.99,219.45,rice
71,43,44,24.16,79.35,6.61,237.91,rice
89,42,38,22.72,74.68,6.52,242.83,rice
80,46,32,22.66,80.29,6.08,230.16,rice
84,63,40,24.02,81.63,5.63,234.2,rice
80,67,39,24.1,81.83,5.93,269.28,rice
87,54,35,26.31,74.99,6.63,300.71,rice
70,43,40,22.49,74.25,6.43,203.13,rice
84,40,47,21.93,80.39,6.73,198.07,rice
82,58,31,23.87,83.3,6.71,197.89,rice
66,52,41,24.0,83.73,6.13,241.97,rice
82,42,49,24.45,76.04,6.66,205.76,rice
87,57,35,25.43,84.06,6.73,291.9,rice
77,41,35,21.87,81.61,6.54,243.3,rice
88,48,47,22.97,95.6,6.65,209.29,rice
69,51,38,24.93,84.37,6.37,209.6,rice
64,44,44,23.93,75.77,6.47,246.56,rice
71,49,40,21.21,83.79,6.62,267.49,rice
90,36,35,24.53,84.57,6.61,350.58,rice
85,57,44,24.8,80.42,6.7,211.82,rice
77,44,40,28.13,72.66,6.67,186.62,rice
75,56,40,21.34,78.42,6.67,213.09,rice
82,48,36,27.79,85.17,5.59,240.59,rice
73,54,36,23.27,84.52,6.75,198.99,rice
76,44,36,27.03,84.02,5.9,262.54,rice
101,56,32,22.53,88.33,6.12,248.31,rice
87,40,39,17.02,76.88,6.3,197.57,rice
96,36,37,23.76,89.21,5.83,269.89,rice
80,40,42,23.9,79.0,6.43,223.44,rice
81,53,47,21.02,92.67,5.62,230.45,rice
85,50,36,23.08,79.53,6.16,260.49,rice
83,42,44,24.11,86.06,6.65,210.13,rice
74,53,43,23.46,82.59,6.91,217.25,rice
85,46,38,25.7,86.13,6.73,274.16,rice
80,53,38,24.15,81.35,6.44,252.85,rice
71,64,34,21.07,87.79,6.72,253.72,rice
86,47,35,23.65,78.61,6.79,230.59,rice
71,45,42,22.37,77.89,6.5,242.35,rice
74,44,41,20.6,74.96,6.11,228.6,rice
83,59,44,23.18,81.9,6.0,234.44,rice
77,50,35,24.54,89.66,6.36,247.05,rice
86,44,41,23.53,82.49,6.09,235.74,rice
84,59,44,27.81,78.16,6.75,240.5,rice
101,41,35,22.3,71.38,6.19,212.23,rice
81,50,49,25.4,79.12,6.04,249.76,rice
66,62,45,22.56,73.43,6.94,231.56,rice
92,35,37,23.51,82.23,6.22,253.69,rice
69,46,40,24.53,85.56,5.95,188.98,rice
92,50,36,26.6,82.58,6.87,237.03,rice
100,62,38,25.44,85.23,6.95,206.05,rice
86,56,31,21.13,71.8,6.29,256.53,rice
95,48,48,20.74,73.48,6.38,246.52,rice
79,31,39,20.89,85.35,6.55,206.8,rice
74,39,39,25.41,77.07,6.6,219.09,rice
72,47,34,22.39,76.01,7.19,236.06,rice
73,49,39,23.06,85.07,6.7,219.08,rice
74,45,28,20.47,88.83,7.06,227.53,rice
85,50,55,25.74,81.36,6.02,186.81,rice
82,41,32,22.21,76.59,7.07,261.45,rice
79,59,40,21.78,89.62,6.62,203.88,rice
78,40,33,25.35,91.55,5.84,251.89,rice
73,44,37,21.77,82.24,6.07,243.11,rice
79,46,35,22.35,85.78,6.6,205.67,rice
80,54,31,24.59,78.69,6.63,212.1,rice
61,34,40,24.02,77.48,6.66,185.15,rice
79,38,36,23.59,77.7,6.25,265.19,rice
74,54,34,24.56,89.21,5.41,211.09,rice
85,46,41,22.29,82.43,6.34,270.03,rice
82,50,37,22.52,79.84,6.56,222.37,rice
82,64,44,22.85,88.01,6.24,173.86,rice
69,33,38,23.54,90.38,6.53,228.43,rice
88,30,41,25.04,74.61,6.86,245.15,rice
75,53,51,23.86,83.24,6.22,209.5,rice
88,41,40,22.54,84.39,6.53,266.13,rice
74,45,35,22.61,83.89,6.7,207.34,rice
88,58,42,27.25,78.13,5.9,181.64,rice
94,53,39,24.06,76.37,7.38,238.88,rice
81,53,42,23.95,78.05,6.59,291.46,rice
93,60,37,21.52,81.37,6.42,267.83,rice
63,60,39,22.65,76.94,5.74,259.7,rice
80,37,33,22.83,90.35,6.3,189.91,rice
77,45,26,23.39,80.85,6.68,290.47,rice
91,45,34,28.65,82.3,6.41,234.28,rice
81,46,37,22.41,81.84,6.18,213.61,rice
81,45,47,18.2,87.46,6.9,172.8,rice
76,45,32,21.94,76.45,7.1,263.07,rice
92,53,34,22.45,84.45,5.91,256.39,rice
77,45,43,24.39,80.2,6.86,202.57,rice
86,52,38,24.15,75.74,6.77,229.45,rice
71,58,17,18.98,55.66,6.5,65.79,maize
99,27,26,23.03,64.42,5.93,90.99,maize
77,59,20,22.88,62.82,6.17,89.62,maize
57,34,22,22.93,63.9,6.21,90.21,maize
71,40,20,20.05,67.45,5.35,100.44,maize
83,50,23,26.66,71.09,5.28,65.81,maize
70,48,22,20.69,66.12,5.82,75.83,maize
61,38,14,20.06,71.32,5.73,124.49,maize
83,49,16,24.25,61.55,6.26,123.4,maize
76,59,17,22.41,75.62,5.89,112.19,maize
86,42,22,24.93,68.73,5.41,74.09,maize
75,47,22,22.94,56.99,6.39,94.16,maize
84,58,23,23.65,64.58,5.37,91.44,maize
80,50,14,19.8,71.32,6.18,95.22,maize
78,48,23,21.21,65.58,5.97,78.48,maize
74,50,18,25.64,59.63,6.11,78.4,maize
95,49,24,18.79,66.6,6.64,86.23,maize
90,42,25,28.25,62.82,5.98,106.8,maize
96,42,18,21.8,56.93,5.74,69.94,maize
68,47,20,26.38,59.01,6.69,81.79,maize
77,54,15,23.46,66.0,6.45,89.34,maize
107,41,17,20.94,61.67,5.88,102.84,maize
95,42,16,23.68,61.69,6.52,88.04,maize
59,63,27,20.97,62.67,6.34,90.02,maize
85,68,19,20.5,56.72,5.83,84.5,maize
99,42,20,22.46,72.13,7.46,77.04,maize
72,58,22,27.12,68.5,6.02,93.86,maize
91,56,22,25.17,72.02,6.89,94.73,maize
75,49,24,20.46,67.21,6.0,85.43,maize
93,49,20,19.1,69.48,6.52,117.45,maize
74,50,20,26.44,64.43,6.34,94.12,maize
80,43,20,25.18,58.84,6.27,74.5,maize
92,32,17,23.44,74.39,6.17,76.67,maize
100,33,11,23.6,61.99,5.69,95.63,maize
80,42,14,24.68,68.9,6.15,112.7,maize
65,32,17,22.39,66.46,6.08,90.28,maize
62,62,19,25.29,67.06,6.43,93.55,maize
83,54,25,22.99,69.25,6.16,106.6,maize
69,66,19,18.92,65.77,5.86,97.61,maize
70,43,12,21.37,50.46,5.41,96.41,maize
87,52,16,22.38,64.98,5.62,107.55,maize
88,45,20,23.02,52.75,6.08,74.77,maize
65,45,27,24.1,61.57,6.49,105.99,maize
89,48,17,24.25,67.36,6.65,94.53,maize
90,42,25,22.99,77.45,5.86,111.04,maize
80,41,18,21.7,67.54,6.46,76.39,maize
